id_municipio,situacao,ano_atendimento,concessionaria,tecnologia,capacidade_backhaul,capacidade_ocupada,capacidade_disponivel
2209153,Atendido,2008,TELEMAR/PI,Rádio,8,4,4
2209450,Atendido,2008,TELEMAR/PI,Rádio,8,4,4
2209500,Atendido,2008,TELEMAR/PI,Rádio,8,4,4
2209807,Atendido,2008,TELEMAR/PI,Rádio,8,4,4
2209872,Atendido,2008,TELEMAR/PI,Rádio,8,4,4
2210383,Atendido,2008,TELEMAR/PI,Rádio,8,4,4
2210938,Atendido,2008,TELEMAR/PI,Fibra,8,4,4
2211605,Atendido,2008,TELEMAR/PI,Fibra,8,4,4
2211704,Atendido,2008,TELEMAR/PI,Rádio,8,4,4
2401503,Atendido,2008,TELEMAR/RN,Rádio,8,4,4
2404606,Atendido,2008,TELEMAR/RN,Rádio,8,4,4
2405207,Atendido,2008,TELEMAR/RN,Rádio,8,4,4
2406403,Atendido,2008,TELEMAR/RN,Rádio,8,4,4
2408953,Atendido,2008,TELEMAR/RN,Rádio,8,4,4
2409332,Atendido,2008,TELEMAR/RN,Fibra,8,4,4
2411106,Atendido,2008,TELEMAR/RN,Rádio,8,4,4
2413102,Atendido,2008,TELEMAR/RN,Rádio,8,4,4
2501153,Atendido,2008,TELEMAR/PB,Rádio,8,4,4
2503555,Atendido,2008,TELEMAR/PB,Rádio,8,4,4
2504157,Atendido,2008,TELEMAR/PB,Rádio,8,4,4
2504355,Atendido,2008,TELEMAR/PB,Rádio,8,4,4
2505279,Atendido,2008,TELEMAR/PB,Rádio,8,4,4
2509057,Atendido,2008,TELEMAR/PB,Rádio,8,4,4
2509339,Atendido,2008,TELEMAR/PB,Rádio,8,4,4
2510659,Atendido,2008,TELEMAR/PB,Rádio,8,4,4
2512762,Atendido,2008,TELEMAR/PB,Rádio,8,4,4
2513851,Atendido,2008,TELEMAR/PB,Rádio,8,4,4
2514800,Atendido,2008,TELEMAR/PB,Rádio,8,4,4
2516755,Atendido,2008,TELEMAR/PB,Rádio,8,4,4
2602704,Atendido,2008,TELEMAR/PE,Rádio,8,4,4
2701100,Atendido,2008,TELEMAR/AL,Rádio,8,4,4
2702553,Atendido,2008,TELEMAR/AL,Rádio,8,4,4
2802809,Atendido,2008,TELEMAR/SE,Fibra,8,4,4
3126752,Atendido,2008,TELEMAR/MG,Rádio,8,4,4
3127073,Atendido,2008,TELEMAR/MG,Rádio,8,4,4
3136801,Atendido,2008,TELEMAR/MG,Rádio,8,4,4
3157336,Atendido,2008,TELEMAR/MG,Fibra,8,4,4
3166402,Atendido,2008,TELEMAR/MG,Fibra,8,4,4
3171501,Atendido,2008,TELEMAR/MG,Rádio,8,4,4
4101051,Atendido,2008,BRASILTELECOM FILIAL/PR,Rádio,8,4,4
4103024,Atendido,2008,BRASILTELECOM FILIAL/PR,Rádio,8,4,4
4103040,Atendido,2008,BRASILTELECOM FILIAL/PR,Rádio,8,4,4
4103156,Atendido,2008,BRASILTELECOM FILIAL/PR,Fibra,8,4,4
4106456,Atendido,2008,BRASILTELECOM FILIAL/PR,Rádio,8,4,4
4107520,Atendido,2008,BRASILTELECOM FILIAL/PR,Rádio,8,4,4
4107546,Atendido,2008,BRASILTELECOM FILIAL/PR,Fibra,8,4,4
4108551,Atendido,2008,BRASILTELECOM FILIAL/PR,Rádio,8,4,4
4108957,Atendido,2008,BRASILTELECOM FILIAL/PR,Fibra,8,4,4
